portal_run_id,bucket,prefix
5025091002d1f664,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/5025091002d1f664/
502509100539df0e,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509100539df0e/
5025091008f46baf,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/5025091008f46baf/
502509100f5f7051,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509100f5f7051/
50250910117c3950,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/50250910117c3950/
502509102597e9d6,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509102597e9d6/
5025091027c704fe,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/5025091027c704fe/
5025091030faf837,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/5025091030faf837/
502509103360ecd6,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509103360ecd6/
5025091037446890,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/5025091037446890/
502509103a0917ef,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509103a0917ef/
502509103b4944d6,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509103b4944d6/
502509103c7b1a3b,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509103c7b1a3b/
502509103e514a1c,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509103e514a1c/
50250910410b2e4a,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/50250910410b2e4a/
502509104d210311,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509104d210311/
5025091052e970c2,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/5025091052e970c2/
502509106675981b,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509106675981b/
502509106cfb2d3c,project-data-X1111111111Y-us-southeast-9,byob-icav2/project-name/analysis/oncoanalyser-wgts-dna/502509106cfb2d3c/
